,date,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,rh_extremes_minimum,mean_sunshine_hrs,mean_temp,temp_mean_daily_min,temp_mean_daily_max,wet_bulb_temperature,year,month
0,1982-01-01,36.5,10,107.1,81.2,49,5.6,25.9,23.3,29.8,23.45604838709677,1982,01
1,1982-02-01,9.4,5,27.8,79.5,49,7.6,27.1,23.9,32.3,24.297619047619047,1982,02
2,1982-03-01,61.7,11,160.8,82.3,51,5.1,27.2,24.3,31.7,24.811559139784944,1982,03
3,1982-04-01,45.1,14,157.0,85.9,54,4.7,27.0,24.3,31.4,25.10375,1982,04
4,1982-05-01,33.0,10,102.2,83.2,57,5.8,28.0,25.2,31.7,25.689650537634407,1982,05
5,1982-06-01,20.6,8,59.5,80.3,53,7.3,28.4,26.0,31.9,25.729305555555552,1982,06
6,1982-07-01,17.2,8,76.3,77.6,38,7.6,28.2,25.5,31.6,25.107258064516127,1982,07
7,1982-08-01,57.7,11,169.5,80.4,52,5.4,27.7,25.0,31.1,25.02755376344086,1982,08
8,1982-09-01,18.0,9,54.1,80.6,49,5.2,27.9,25.3,31.4,25.243055555555557,1982,09
9,1982-10-01,10.0,10,39.3,81.5,49,5.6,27.4,24.3,32.1,24.90067204301075,1982,10
10,1982-11-01,39.6,13,134.0,83.4,47,5.8,27.3,24.5,32.4,25.068888888888885,1982,11
11,1982-12-01,109.0,21,494.1,87.7,56,3.3,26.2,23.9,29.9,24.621639784946236,1982,12
12,1983-01-01,43.2,18,246.0,85.6,53,4.3,26.5,24.0,30.3,24.554973118279573,1983,01
13,1983-02-01,5.1,2,5.6,78.0,41,9.3,28.1,24.8,33.1,24.97440476190476,1983,02
14,1983-03-01,18.3,2,18.6,76.0,40,8.9,28.9,25.4,34.4,25.439247311827955,1983,03
15,1983-04-01,21.3,4,33.6,77.2,39,6.6,29.4,26.3,34.3,26.09347222222222,1983,04
16,1983-05-01,32.3,11,160.8,83.2,58,5.9,28.3,25.2,32.5,25.95685483870968,1983,05
17,1983-06-01,27.7,11,94.0,82.4,51,5.9,28.3,25.3,31.9,25.872500000000002,1983,06
18,1983-07-01,55.5,18,190.0,83.7,54,5.4,27.6,24.9,31.0,25.422043010752688,1983,07
19,1983-08-01,181.8,10,262.2,81.2,44,6.3,28.1,25.6,31.5,25.54959677419355,1983,08
20,1983-09-01,50.3,18,170.8,84.4,55,3.8,27.2,24.6,31.1,25.13722222222222,1983,09
21,1983-10-01,40.0,17,212.7,82.5,47,5.2,27.6,24.7,31.5,25.239247311827956,1983,10
22,1983-11-01,54.8,18,228.8,85.2,49,3.2,26.6,24.0,30.5,24.687638888888888,1983,11
23,1983-12-01,164.4,16,370.6,88.0,57,2.7,25.4,23.3,28.9,23.882526881720427,1983,12
24,1984-01-01,62.3,18,251.2,85.8,55,4.1,25.5,22.9,29.5,23.667876344086025,1984,01
25,1984-02-01,154.4,19,470.4,86.0,58,4.1,25.8,23.4,30.0,24.00991379310345,1984,02
26,1984-03-01,119.4,19,361.3,85.4,56,5.3,26.5,23.8,30.8,24.6002688172043,1984,03
27,1984-04-01,38.7,17,153.1,83.8,55,6.2,27.3,24.5,31.3,25.178472222222222,1984,04
28,1984-05-01,46.0,12,186.5,84.1,54,6.4,27.3,24.5,31.3,25.15645161290323,1984,05
29,1984-06-01,121.1,14,255.0,83.1,52,5.4,27.5,24.7,31.1,25.2575,1984,06
30,1984-07-01,49.2,12,127.2,83.7,55,5.7,27.2,24.7,30.7,24.984274193548387,1984,07
31,1984-08-01,22.5,13,102.7,84.1,60,6.0,27.4,24.3,31.2,25.241935483870968,1984,08
32,1984-09-01,46.5,17,186.7,83.9,49,4.9,26.8,23.7,30.9,24.65791666666667,1984,09
33,1984-10-01,47.2,11,187.5,82.5,53,5.3,27.4,24.3,31.6,25.00712365591398,1984,10
34,1984-11-01,35.4,17,127.7,86.3,58,4.3,26.5,24.0,31.0,24.650138888888886,1984,11
35,1984-12-01,58.4,22,277.4,86.7,58,3.3,26.0,23.6,30.0,24.245833333333334,1984,12
36,1985-01-01,35.5,7,111.1,81.5,49,8.7,26.6,23.6,31.2,24.091129032258063,1985,01
37,1985-02-01,18.7,11,79.3,84.0,51,6.5,27.0,24.1,32.1,24.892857142857142,1985,02
38,1985-03-01,23.8,13,88.0,83.9,56,5.6,27.1,24.2,31.8,24.92822580645161,1985,03
39,1985-04-01,29.3,14,110.5,83.8,55,5.5,27.5,24.4,32.2,25.28291666666667,1985,04
40,1985-05-01,36.2,12,70.1,83.4,55,5.7,28.0,25.2,31.8,25.736962365591395,1985,05
41,1985-06-01,9.9,14,37.0,79.4,43,5.8,28.2,25.1,32.1,25.32333333333333,1985,06
42,1985-07-01,32.2,17,131.8,83.1,50,5.3,27.0,23.9,30.8,24.738575268817204,1985,07
43,1985-08-01,21.4,11,56.9,80.4,53,6.2,27.7,25.1,31.5,25.07983870967742,1985,08
44,1985-09-01,22.0,18,110.7,83.1,48,5.0,26.9,24.0,30.9,24.693055555555556,1985,09
45,1985-10-01,30.2,21,169.0,84.7,43,4.1,26.7,23.9,30.6,24.6747311827957,1985,10
46,1985-11-01,38.2,21,179.4,85.0,54,4.1,26.6,23.8,31.1,24.571805555555557,1985,11
47,1985-12-01,86.8,22,340.1,86.2,56,4.6,26.1,23.7,30.2,24.273118279569893,1985,12
48,1986-01-01,95.6,13,308.2,83.9,55,3.9,25.7,23.4,29.3,23.615591397849464,1986,01
49,1986-02-01,23.0,2,26.7,78.4,48,7.2,26.9,23.9,31.9,23.99955357142857,1986,02
50,1986-03-01,71.1,17,353.4,86.6,55,4.6,26.4,24.1,30.5,24.6747311827957,1986,03
51,1986-04-01,56.4,14,150.0,85.3,54,6.2,27.4,24.7,31.7,25.42013888888889,1986,04
52,1986-05-01,51.3,13,145.1,81.8,48,6.1,28.2,25.4,31.8,25.686155913978496,1986,05
53,1986-06-01,34.5,13,122.9,82.5,50,6.8,27.9,25.3,31.6,25.542222222222225,1986,06
54,1986-07-01,23.5,12,109.7,79.9,48,6.2,27.9,25.0,31.5,25.11209677419355,1986,07
55,1986-08-01,28.4,11,72.9,77.3,40,5.6,28.3,25.2,31.9,25.126478494623655,1986,08
56,1986-09-01,97.6,22,396.0,84.4,54,4.8,26.7,23.6,30.6,24.64486111111111,1986,09
57,1986-10-01,65.6,20,227.3,85.0,57,5.0,26.9,24.3,30.9,24.90537634408602,1986,10
58,1986-11-01,40.5,21,256.7,84.1,53,4.5,26.6,24.1,30.9,24.504583333333333,1986,11
59,1986-12-01,131.7,16,367.2,85.2,55,5.4,26.3,23.9,30.3,24.403494623655916,1986,12
60,1987-01-01,127.4,16,568.6,86.0,56,4.0,25.5,23.4,28.8,23.70255376344086,1987,01
61,1987-02-01,34.8,7,86.9,79.0,47,9.2,26.6,23.7,31.6,23.781994047619047,1987,02
62,1987-03-01,40.9,12,132.5,83.2,50,6.9,27.5,24.8,32.1,25.19475806451613,1987,03
63,1987-04-01,27.7,10,72.5,82.8,51,6.2,27.9,25.1,32.6,25.573194444444447,1987,04
64,1987-05-01,81.4,16,270.0,84.6,59,5.6,27.6,25.0,31.7,25.55766129032258,1987,05
65,1987-06-01,30.7,15,126.6,80.7,47,6.8,28.7,26.0,32.4,26.001527777777774,1987,06
66,1987-07-01,21.6,11,80.9,81.3,55,6.7,28.1,25.4,31.6,25.540188172043013,1987,07
67,1987-08-01,48.2,16,191.9,83.6,57,5.1,27.4,25.0,31.1,25.20483870967742,1987,08
68,1987-09-01,44.5,11,129.9,82.5,51,5.4,27.6,24.6,31.7,25.21027777777778,1987,09
69,1987-10-01,5.9,9,22.6,82.1,49,5.8,27.9,25.2,32.5,25.403897849462364,1987,10
70,1987-11-01,77.7,17,347.6,84.0,54,4.5,27.3,24.3,31.7,25.099861111111114,1987,11
71,1987-12-01,24.3,11,72.8,84.6,57,4.8,26.4,24.2,30.4,24.40981182795699,1987,12
72,1988-01-01,69.0,15,237.5,84.3,57,5.9,26.8,24.5,30.8,24.706989247311828,1988,01
73,1988-02-01,46.7,9,158.1,83.2,55,6.7,27.1,24.6,32.0,24.87528735632184,1988,02
74,1988-03-01,70.1,15,186.8,85.3,45,5.2,27.3,24.8,31.3,25.28682795698925,1988,03
75,1988-04-01,22.8,13,109.6,84.5,54,5.4,27.8,25.2,32.4,25.7025,1988,04
76,1988-05-01,76.7,14,229.6,82.7,53,5.6,28.4,25.8,32.0,26.008467741935483,1988,05
77,1988-06-01,69.4,13,252.2,81.6,45,6.5,28.0,24.9,31.8,25.459305555555556,1988,06
78,1988-07-01,75.6,15,305.4,84.0,57,6.0,27.3,24.6,31.2,25.204435483870967,1988,07
79,1988-08-01,19.0,14,80.1,84.9,54,4.9,27.0,24.5,30.8,25.002150537634407,1988,08
80,1988-09-01,187.3,14,440.4,84.5,51,4.8,27.1,24.5,31.0,25.004722222222224,1988,09
81,1988-10-01,39.8,17,134.6,83.2,46,4.1,27.5,24.5,31.5,25.170295698924733,1988,10
82,1988-11-01,111.9,23,401.4,86.8,58,3.7,26.3,23.7,30.3,24.58527777777778,1988,11
83,1988-12-01,22.0,11,62.9,81.1,58,5.7,26.2,23.9,30.4,23.718413978494624,1988,12
84,1989-01-01,53.0,10,189.7,84.1,55,5.8,26.5,23.9,30.9,24.39704301075269,1989,01
85,1989-02-01,48.4,3,52.4,78.3,51,6.7,26.6,23.7,31.8,23.703869047619047,1989,02
86,1989-03-01,63.5,21,305.9,87.6,60,4.5,26.3,23.9,31.0,24.72204301075269,1989,03
87,1989-04-01,39.0,17,198.6,86.4,53,5.7,27.0,24.0,31.8,25.190555555555555,1989,04
88,1989-05-01,38.2,12,194.0,86.6,55,5.2,27.3,24.5,31.5,25.4755376344086,1989,05
89,1989-06-01,45.9,12,117.6,83.3,53,6.0,27.5,24.4,31.7,25.19611111111111,1989,06
90,1989-07-01,33.3,12,157.6,82.6,53,6.0,27.7,24.9,31.6,25.386559139784943,1989,07
91,1989-08-01,81.4,18,201.0,83.7,48,5.3,27.1,23.9,31.0,24.966397849462364,1989,08
92,1989-09-01,102.2,14,247.3,84.4,50,5.5,26.9,24.1,30.8,24.846249999999998,1989,09
93,1989-10-01,24.9,16,111.0,83.7,51,5.5,27.1,24.2,31.3,24.87983870967742,1989,10
94,1989-11-01,148.6,20,508.4,86.0,56,5.4,26.7,24.0,31.0,24.7975,1989,11
95,1989-12-01,44.2,18,179.7,85.5,58,4.8,26.3,23.9,30.2,24.37889784946237,1989,12
96,1990-01-01,73.9,13,147.4,83.8,52,5.3,26.2,23.7,30.3,24.04731182795699,1990,01
97,1990-02-01,6.6,8,24.1,80.9,38,8.9,27.6,24.9,32.4,24.96175595238095,1990,02
98,1990-03-01,48.6,4,94.2,77.6,39,8.3,28.2,25.0,33.3,25.07956989247312,1990,03
99,1990-04-01,12.0,10,52.4,81.2,44,6.3,28.5,25.3,33.4,25.885972222222225,1990,04
100,1990-05-01,153.7,11,180.1,81.1,45,6.5,28.6,25.6,32.8,25.933064516129033,1990,05
101,1990-06-01,76.1,9,112.6,80.7,46,6.3,28.3,25.4,32.4,25.693888888888885,1990,06
102,1990-07-01,44.5,12,124.0,82.7,53,5.9,27.5,24.6,31.4,25.131048387096776,1990,07
103,1990-08-01,38.3,13,146.6,82.3,46,5.8,28.0,25.1,31.4,25.5747311827957,1990,08
104,1990-09-01,44.5,17,204.5,83.2,39,5.1,27.2,24.2,31.3,24.9775,1990,09
105,1990-10-01,20.2,12,56.4,83.5,50,5.9,27.5,24.9,31.8,25.24516129032258,1990,10
106,1990-11-01,46.9,17,180.4,83.5,49,4.6,27.2,24.7,31.3,24.983611111111113,1990,11
107,1990-12-01,33.5,16,201.1,86.0,58,5.5,26.3,24.1,30.2,24.47231182795699,1990,12
108,1991-01-01,36.2,13,123.9,84.1,50,5.6,26.7,24.2,30.9,24.58454301075269,1991,01
109,1991-02-01,17.9,7,45.5,81.6,51,7.0,27.1,24.1,31.8,24.620386904761908,1991,02
110,1991-03-01,48.6,10,92.4,79.9,50,7.1,27.8,24.7,32.4,25.046370967741936,1991,03
111,1991-04-01,32.2,13,134.2,84.3,49,5.8,27.7,24.7,32.3,25.61513888888889,1991,04
112,1991-05-01,44.0,23,256.4,86.6,57,5.1,27.7,25.0,31.5,25.91021505376344,1991,05
113,1991-06-01,55.6,9,88.7,81.0,56,7.1,28.6,25.8,32.2,25.97041666666667,1991,06
114,1991-07-01,10.7,8,37.3,78.7,44,6.7,28.5,25.7,32.1,25.533736559139783,1991,07
115,1991-08-01,129.9,8,226.2,79.8,43,5.3,28.2,25.3,32.2,25.4,1991,08
116,1991-09-01,53.6,12,123.1,83.0,58,4.1,27.5,24.7,31.3,25.269305555555558,1991,09
117,1991-10-01,20.4,5,52.0,81.4,40,4.2,27.5,24.7,31.8,24.985483870967744,1991,10
118,1991-11-01,75.2,19,205.0,86.5,53,3.5,26.3,23.6,30.6,24.49291666666667,1991,11
119,1991-12-01,79.4,19,492.3,90.7,61,3.0,25.6,23.4,29.1,24.43938172043011,1991,12
120,1992-01-01,56.2,9,83.9,82.4,55,6.6,26.6,23.8,30.7,24.29274193548387,1992,01
121,1992-02-01,43.2,4,62.4,80.5,49,7.7,27.5,24.3,32.1,24.784913793103446,1992,02
122,1992-03-01,35.1,6,67.6,80.6,54,7.4,28.2,25.0,33.0,25.50577956989247,1992,03
123,1992-04-01,94.7,13,160.3,82.4,44,6.4,28.4,25.1,32.9,25.965,1992,04
124,1992-05-01,13.7,13,63.1,83.3,53,5.7,28.1,25.1,32.5,25.8505376344086,1992,05
125,1992-06-01,38.4,14,162.8,82.7,52,5.5,28.0,24.9,32.0,25.671666666666663,1992,06
126,1992-07-01,97.3,19,290.8,83.8,55,4.7,27.3,24.2,30.9,25.1630376344086,1992,07
127,1992-08-01,31.0,11,76.1,81.1,46,5.7,27.8,24.3,31.4,25.18978494623656,1992,08
128,1992-09-01,17.5,13,83.6,82.9,45,5.0,27.3,24.5,31.5,25.035694444444445,1992,09
129,1992-10-01,45.5,20,233.2,82.0,48,4.5,27.4,24.3,31.4,24.988306451612903,1992,10
130,1992-11-01,120.6,18,474.3,87.7,59,3.7,26.1,23.7,30.0,24.479999999999997,1992,11
131,1992-12-01,105.7,23,502.7,90.3,60,3.4,25.5,23.4,29.2,24.283467741935485,1992,12
132,1993-01-01,37.2,11,176.4,85.7,58,5.5,26.2,23.8,29.9,24.335752688172043,1993,01
133,1993-02-01,27.0,8,69.2,80.5,50,8.5,26.7,23.8,31.4,24.083035714285714,1993,02
134,1993-03-01,56.9,14,250.5,86.3,56,5.4,26.7,24.0,30.7,24.861021505376343,1993,03
135,1993-04-01,56.7,20,283.9,84.5,51,6.4,27.6,24.4,31.9,25.485416666666666,1993,04
136,1993-05-01,37.2,10,129.9,82.9,46,6.0,28.2,25.4,31.9,25.850403225806453,1993,05
137,1993-06-01,29.4,17,115.5,80.9,50,6.2,28.5,25.4,31.9,25.831666666666667,1993,06
138,1993-07-01,46.4,15,240.0,83.2,52,5.2,27.9,25.2,31.1,25.60470430107527,1993,07
139,1993-08-01,53.5,11,106.8,79.4,51,7.4,28.6,25.4,32.1,25.729032258064517,1993,08
140,1993-09-01,42.0,7,61.7,81.4,45,5.9,27.9,24.9,31.7,25.335,1993,09
141,1993-10-01,62.7,13,175.5,84.3,51,5.2,27.5,24.7,31.6,25.36599462365591,1993,10
142,1993-11-01,61.3,18,250.8,87.4,57,4.7,26.9,24.2,30.9,25.185555555555553,1993,11
143,1993-12-01,67.6,19,308.5,87.4,57,4.2,26.5,24.0,30.3,24.86532258064516,1993,12
144,1994-01-01,17.5,7,56.9,82.1,50,6.1,26.9,24.1,30.9,24.526344086021503,1994,01
145,1994-02-01,26.3,15,133.5,84.5,53,6.4,27.0,24.0,31.6,24.952976190476193,1994,02
146,1994-03-01,64.2,19,288.2,87.1,55,3.5,26.8,24.2,30.5,25.100403225806453,1994,03
147,1994-04-01,46.3,15,154.0,84.8,54,5.8,27.9,24.8,31.9,25.803333333333335,1994,04
148,1994-05-01,45.1,16,169.6,84.8,52,5.0,28.1,25.1,31.1,26.023655913978494,1994,05
149,1994-06-01,61.1,14,184.7,83.5,55,6.0,28.1,25.2,31.3,25.833194444444448,1994,06
150,1994-07-01,17.0,6,53.8,78.9,53,7.6,28.4,25.7,31.6,25.547580645161293,1994,07
151,1994-08-01,15.5,12,45.1,80.0,52,6.5,28.1,25.2,31.9,25.402419354838713,1994,08
152,1994-09-01,11.3,6,23.7,78.7,37,3.8,28.3,25.5,31.9,25.410833333333333,1994,09
153,1994-10-01,35.4,11,84.7,81.5,43,4.5,27.9,24.6,32.1,25.294758064516127,1994,10
154,1994-11-01,178.3,21,322.2,88.4,58,4.5,26.7,24.0,30.5,25.15263888888889,1994,11
155,1994-12-01,133.8,18,425.4,85.5,58,5.3,26.9,24.1,30.7,24.94327956989247,1994,12
156,1995-01-01,108.3,21,349.4,86.2,59,5.0,26.8,24.1,30.6,24.95779569892473,1995,01
157,1995-02-01,159.3,16,334.0,87.5,60,4.9,26.5,23.9,29.9,24.79925595238095,1995,02
158,1995-03-01,31.1,10,67.7,83.9,54,5.9,27.6,24.6,31.8,25.396102150537637,1995,03
159,1995-04-01,73.6,16,242.3,85.3,53,5.6,27.9,25.0,32.0,25.946805555555557,1995,04
160,1995-05-01,32.8,11,84.4,83.7,54,6.0,28.5,25.6,32.3,26.279301075268815,1995,05
161,1995-06-01,45.0,12,63.7,81.9,51,6.6,28.9,25.8,32.7,26.335694444444446,1995,06
162,1995-07-01,52.3,13,173.6,82.6,58,5.2,28.0,25.2,31.2,25.65215053763441,1995,07
